Variable,Value
"(1, 29)",0.0
"(1, 30)",1.0
"(1, 31)",0.0
"(1, 32)",0.0
"(1, 33)",0.0
"(1, 34)",0.0
"(1, 35)",0.0
"(2, 4)",0.0
"(2, 5)",0.0
"(2, 6)",0.0
"(2, 7)",1.0
"(2, 8)",0.0
"(2, 9)",0.0
"(2, 10)",0.0
"(3, 3)",0.0
"(3, 4)",0.0
"(3, 5)",1.0
"(3, 6)",0.0
"(3, 7)",0.0
"(3, 8)",0.0
"(3, 9)",0.0
"(4, 40)",0.0
"(4, 41)",0.0
"(4, 42)",0.0
"(4, 43)",1.0
"(4, 44)",0.0
"(4, 45)",0.0
"(4, 46)",0.0
"(5, 7)",0.0
"(5, 8)",1.0
"(5, 9)",0.0
"(5, 10)",0.0
"(5, 11)",0.0
"(5, 12)",0.0
"(5, 13)",0.0
"(6, 6)",0.0
"(6, 7)",0.0
"(6, 8)",0.0
"(6, 9)",0.0
"(6, 10)",0.0
"(6, 11)",1.0
"(6, 12)",0.0
"(7, 3)",0.0
"(7, 4)",0.0
"(7, 5)",0.0
"(7, 6)",1.0
"(7, 7)",0.0
"(7, 8)",0.0
"(7, 9)",0.0
"(8, 45)",0.0
"(8, 46)",0.0
"(8, 47)",0.0
"(8, 48)",0.0
"(8, 49)",1.0
"(8, 50)",0.0
"(8, 51)",0.0
"(9, 9)",0.0
"(9, 10)",0.0
"(9, 11)",0.0
"(9, 12)",0.0
"(9, 13)",0.0
"(9, 14)",1.0
"(9, 15)",0.0
"(10, 11)",0.0
"(10, 12)",1.0
"(10, 13)",0.0
"(10, 14)",0.0
"(10, 15)",0.0
"(10, 16)",0.0
"(10, 17)",0.0
"(11, 4)",0.0
"(11, 5)",0.0
"(11, 6)",1.0
"(11, 7)",0.0
"(11, 8)",0.0
"(11, 9)",0.0
"(11, 10)",0.0
