Time,Station,Wharf
06:30,Barangaroo,Bar2
06:52,Blackwattle Bay,BWB1
07:23,Barangaroo,Bar1
07:00,Barangaroo,Bar2
07:22,Blackwattle Bay,BWB1
07:53,Barangaroo,Bar2
07:30,Barangaroo,Bar2
07:52,Blackwattle Bay,BWB1
08:23,Barangaroo,Bar2
08:00,Barangaroo,Bar2
08:22,Blackwattle Bay,BWB1
08:53,Barangaroo,Bar1
08:30,Barangaroo,Bar2
08:52,Blackwattle Bay,BWB1
09:23,Barangaroo,Bar1
09:00,Barangaroo,Bar2
09:22,Blackwattle Bay,BWB1
09:53,Barangaroo,Bar1
09:30,Barangaroo,Bar2
09:52,Blackwattle Bay,BWB1
10:23,Barangaroo,Bar1
